数理科学基礎
物性化学
政治Ⅰ
身体運動・健康科学実習Ⅰ（ﾒﾃﾞｨｶﾙｹｱ1）
スペイン語テクスト分析Ⅰ
英語二列Ｗ（ALESS）
応用倫理学
英語中級（クラス指定セメスター型）
スペイン語二列
人間行動基礎論（理科生）
中国語初級（インテンシヴ）
フランス語中級（インテンシヴ）
社会科学ゼミナール（経済・統計）
生命科学Ⅰ
ドイツ語中級（演習）
ドイツ語二列
フランス語初級（第三外国語）
生命科学
ロシア語中級（作文）
フランス語初級（インテンシヴ）
スペイン語一列①
ドイツ語中級（作文）
英語上級
英語中級
ドイツ語初級（第三外国語）
フランス語初級（演習）①
フランス語一列①
中国語二列
情報
中国語初級（演習）①
英語二列Ｓ（FLOW）
全学体験ゼミナール(PEAK)
ドイツ語初級（演習）①
全学体験ゼミナール　(伊豆に学ぶ（夏）２後編　　山、温泉、そして海。　自然と人の繋がりをまなぶ)
全学体験ゼミナール　(伊豆に学ぶ（夏）1後編　　山、温泉、そして海。　自然と人の繋がりをまなぶ)
全学体験ゼミナール　(伊豆に学ぶ（夏）1前編　　山、温泉、そして海。　自然と人の繋がりをまなぶ)
全学体験ゼミナール　(海の生命科学入門)
イタリア語一列①
基礎実験Ⅲ(物理学)
ロシア語一列①
"全学体験ゼミナール　(乳牛、馬、豚,山羊達と触れ合い種による習性の違いを知ろう。)"
基礎実験Ⅲ(化学)
基礎化学
全学自由研究ゼミナール(PEAK)(社会・制度Ⅱ)(Society and Institutions II)
社会生態学
全学体験ゼミナール　(伊豆に学ぶ（夏）２前編　　山、温泉、そして海。　自然と人の繋がりをまなぶ)
惑星地球科学実習
ベクトル解析
社会・制度Ⅱ(PEAK)
応用日本語(8)(PEAK)
宇宙科学実習Ⅰ
生態学の基礎(PEAK)
応用日本語(12)(PEAK)
全学自由研究ゼミナール(PEAK)(生態学の基礎)(Introduction to Ecology)
スペイン語初級（演習）①
ドイツ語一列①
スポーツ・身体運動実習
数理科学基礎演習
ことばと文学Ⅲ
心理Ⅰ
歴史Ⅰ
経済Ⅰ
哲学Ⅰ
地域文化論Ⅰ
中国語中級（インテンシヴ）
中国語初級（第三外国語）
ロシア語上級（作文）
基礎生命科学実験
身体運動・健康科学実習Ⅰ（ﾒﾃﾞｨｶﾙｹｱ3）
全学体験ゼミナール　(森に学ぶ（ふらの）後編　北海道の大地に学ぶ)
日本語二列Ｐ
英語中級（クラス指定ターム型）
全学自由研究ゼミナール　(新書で考える教育と社会)
微分積分学①
全学体験ゼミナール　(原子力・核融合の研究開発現場を見てみよう)
線型代数学①
英語一列①
日本語中級
数学基礎理論演習
全学体験ゼミナール　(エネルギー資源の「開発」を学ぶ)
生命科学実験
基礎実験Ⅳ(化学)
基礎実験Ⅳ(物理学)
英語一列①（教員・教室未定）
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】光ファイバでレーザを作ろう)
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】セキュリティホールを調べてみよう)
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】マイクロマシン（MEMS）をつくろう)
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】 光学非線形現象で細胞を可視化しよう)
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】青色LEDを作ろう)
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】神経回路でプラスチック地雷を見つけよう)
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】身近なモノをインターネットにつなごう)
全学自由研究ゼミナール　(【電気電子情報体験ゼミ】コンピューター・マイクロチップを作ろう)
国際研修　(イタリアで考古学を体験する)
国際研修　(ボン大学ドイツ語サマースクール)
全学体験ゼミナール　(アイデアを形にするモノづくり体験 〜ロボットから家電まで〜)
国際研修　(ソウル大学校韓国語研修サマープログラム)
国際研修　(国際人道法ロールプレイInternational Humanitarian Law Role Play)
国際研修　(TLPフランス語夏季研修)
国際研修　(グローバルガバナンスにおけるＥＵと東アジア / The European Union and East Asia in International Relations and Global Governance)
全学体験ゼミナール　(君はスギとヒノキのことを本当に知っているのか？（入門編）)
全学体験ゼミナール　(癒しの森と地域社会（夏）)
国際研修　(The University of Tokyo Summer Internship Program in Kashiwa (UTSIP Kashiwa))
現代生命科学Ⅰ（文科生、理一生）
全学自由研究ゼミナール　(農地土壌から作物への放射性物質の移行の実習)
全学自由研究ゼミナール　(ジビエを通して獣害問題と向き合うＳ２充実の学園祭。ジビエ販売を通して問題の本質を伝える企画系ゼミ)
全学体験ゼミナール　(「それ何マグロ？」身近な生命科学実習－マグロ属魚類の魚種類判別－)
全学自由研究ゼミナール　(伊豆に学ぶプラス２０１９Ｓ２　「感じる・考える・行動する」サイクルの発動)
全学自由研究ゼミナール　(ビーントゥバーチョコレート作り体験から学ぶべきことＳ２学園祭においてビーントゥバーチョコレー体験教室を運営。ビーントゥバーチョコレート作り体験から学ぶべきを伝える企画系ゼミ)
全学自由研究ゼミナール　(国連と文化2)
全学自由研究ゼミナール　(図書館の学び・活用・提案②)
身体運動・健康科学実習Ⅱ（ﾒﾃﾞｨｶﾙｹｱ2）
身体運動・健康科学実習Ⅱ（ﾒﾃﾞｨｶﾙｹｱ3）
全学自由研究ゼミナール　(国際人道法基礎International Humanitarian Law - Foundation)
ポルトガル語中級（第三外国語）
初年次ゼミナール文科
